,counts,rates,file
,91,130.4,201801JanDHB.pdf
,61,104.3,201801JanDHB.pdf
,55,86.5,201801JanDHB.pdf
,60,136.5,201801JanDHB.pdf
,15,146.5,201801JanDHB.pdf
,30,97.5,201801JanDHB.pdf
,14,119.6,201801JanDHB.pdf
,26,199,201801JanDHB.pdf
,35,172.7,201801JanDHB.pdf
,13,151.3,201801JanDHB.pdf
,19,150.1,201801JanDHB.pdf
,34,114.9,201801JanDHB.pdf
,47,111,201801JanDHB.pdf
,2,175.3,201801JanDHB.pdf
,20,139.1,201801JanDHB.pdf
,5,193.8,201801JanDHB.pdf
,78,151.4,201801JanDHB.pdf
,17,256.7,201801JanDHB.pdf
,69,233.1,201801JanDHB.pdf
,57,129.9,201802FebDHB.pdf
,49,106.6,201802FebDHB.pdf
,40,86,201802FebDHB.pdf
,45,137,201802FebDHB.pdf
,13,142.9,201802FebDHB.pdf
,16,96.2,201802FebDHB.pdf
,4,123.7,201802FebDHB.pdf
,19,194.8,201802FebDHB.pdf
,28,175.1,201802FebDHB.pdf
,6,148.2,201802FebDHB.pdf
,19,147.2,201802FebDHB.pdf
,12,112.9,201802FebDHB.pdf
,32,110.3,201802FebDHB.pdf
,5,175.3,201802FebDHB.pdf
,18,141.8,201802FebDHB.pdf
,4,196.9,201802FebDHB.pdf
,59,151.3,201802FebDHB.pdf
,11,258.4,201802FebDHB.pdf
,65,232.8,201802FebDHB.pdf
,51,133.5,201803MarDHB.pdf
,60,108.9,201803MarDHB.pdf
,43,87.4,201803MarDHB.pdf
,32,137.5,201803MarDHB.pdf
,10,139.2,201803MarDHB.pdf
,17,99.6,201803MarDHB.pdf
,4,125.8,201803MarDHB.pdf
,18,199.8,201803MarDHB.pdf
,19,178.8,201803MarDHB.pdf
,5,146.6,201803MarDHB.pdf
,22,147.2,201803MarDHB.pdf
,13,110.2,201803MarDHB.pdf
,42,115.4,201803MarDHB.pdf
,6,182,201803MarDHB.pdf
,11,137.8,201803MarDHB.pdf
,4,196.9,201803MarDHB.pdf
,52,151.1,201803MarDHB.pdf
,13,250,201803MarDHB.pdf
,52,231.3,201803MarDHB.pdf
,10,144.8,201804AprDHB.pdf
,40,132.8,201804AprDHB.pdf
,35,110,201804AprDHB.pdf
,41,90.2,201804AprDHB.pdf
,36,140.9,201804AprDHB.pdf
,9,140.1,201804AprDHB.pdf
,15,97.9,201804AprDHB.pdf
,4,127.8,201804AprDHB.pdf
,9,198.1,201804AprDHB.pdf
,13,176.9,201804AprDHB.pdf
,2,138.8,201804AprDHB.pdf
,18,148.4,201804AprDHB.pdf
,11,110.9,201804AprDHB.pdf
,31,118.3,201804AprDHB.pdf
,4,184.3,201804AprDHB.pdf
,11,135.8,201804AprDHB.pdf
,6,209.2,201804AprDHB.pdf
,45,152.3,201804AprDHB.pdf
,6,248.3,201804AprDHB.pdf
,49,228.8,201804AprDHB.pdf
