Counts,File,DHBs,Year
36,201801JanDHB.pdf,Northland,2018
91,201801JanDHB.pdf,Waitemata,2018
61,201801JanDHB.pdf,Auckland,2018
55,201801JanDHB.pdf,Counties Manukau,2018
60,201801JanDHB.pdf,Waikato,2018
15,201801JanDHB.pdf,Lakes,2018
30,201801JanDHB.pdf,Bay of Plenty,2018
14,201801JanDHB.pdf,Tairawhiti,2018
26,201801JanDHB.pdf,Taranaki,2018
35,201801JanDHB.pdf,Hawke's Bay,2018
13,201801JanDHB.pdf,Whanganui,2018
19,201801JanDHB.pdf,MidCentral,2018
34,201801JanDHB.pdf,Hutt Valley,2018
47,201801JanDHB.pdf,Capital and Coast,2018
2,201801JanDHB.pdf,Wairarapa,2018
20,201801JanDHB.pdf,Nelson Marlborough,2018
5,201801JanDHB.pdf,West Coast,2018
78,201801JanDHB.pdf,Canterbury,2018
17,201801JanDHB.pdf,South Canterbury,2018
69,201801JanDHB.pdf,Southern,2018
10,201802FebDHB.pdf,Northland,2018
57,201802FebDHB.pdf,Waitemata,2018
49,201802FebDHB.pdf,Auckland,2018
40,201802FebDHB.pdf,Counties Manukau,2018
45,201802FebDHB.pdf,Waikato,2018
13,201802FebDHB.pdf,Lakes,2018
16,201802FebDHB.pdf,Bay of Plenty,2018
4,201802FebDHB.pdf,Tairawhiti,2018
19,201802FebDHB.pdf,Taranaki,2018
28,201802FebDHB.pdf,Hawke's Bay,2018
6,201802FebDHB.pdf,Whanganui,2018
19,201802FebDHB.pdf,MidCentral,2018
12,201802FebDHB.pdf,Hutt Valley,2018
32,201802FebDHB.pdf,Capital and Coast,2018
5,201802FebDHB.pdf,Wairarapa,2018
18,201802FebDHB.pdf,Nelson Marlborough,2018
4,201802FebDHB.pdf,West Coast,2018
59,201802FebDHB.pdf,Canterbury,2018
11,201802FebDHB.pdf,South Canterbury,2018
65,201802FebDHB.pdf,Southern,2018
14,201803MarDHB.pdf,Northland,2018
51,201803MarDHB.pdf,Waitemata,2018
60,201803MarDHB.pdf,Auckland,2018
43,201803MarDHB.pdf,Counties Manukau,2018
32,201803MarDHB.pdf,Waikato,2018
10,201803MarDHB.pdf,Lakes,2018
17,201803MarDHB.pdf,Bay of Plenty,2018
4,201803MarDHB.pdf,Tairawhiti,2018
18,201803MarDHB.pdf,Taranaki,2018
19,201803MarDHB.pdf,Hawke's Bay,2018
5,201803MarDHB.pdf,Whanganui,2018
22,201803MarDHB.pdf,MidCentral,2018
13,201803MarDHB.pdf,Hutt Valley,2018
42,201803MarDHB.pdf,Capital and Coast,2018
6,201803MarDHB.pdf,Wairarapa,2018
11,201803MarDHB.pdf,Nelson Marlborough,2018
4,201803MarDHB.pdf,West Coast,2018
52,201803MarDHB.pdf,Canterbury,2018
13,201803MarDHB.pdf,South Canterbury,2018
52,201803MarDHB.pdf,Southern,2018
10,201804AprDHB.pdf,Northland,2018
40,201804AprDHB.pdf,Waitemata,2018
35,201804AprDHB.pdf,Auckland,2018
41,201804AprDHB.pdf,Counties Manukau,2018
36,201804AprDHB.pdf,Waikato,2018
9,201804AprDHB.pdf,Lakes,2018
15,201804AprDHB.pdf,Bay of Plenty,2018
4,201804AprDHB.pdf,Tairawhiti,2018
9,201804AprDHB.pdf,Taranaki,2018
13,201804AprDHB.pdf,Hawke's Bay,2018
2,201804AprDHB.pdf,Whanganui,2018
18,201804AprDHB.pdf,MidCentral,2018
11,201804AprDHB.pdf,Hutt Valley,2018
31,201804AprDHB.pdf,Capital and Coast,2018
4,201804AprDHB.pdf,Wairarapa,2018
11,201804AprDHB.pdf,Nelson Marlborough,2018
6,201804AprDHB.pdf,West Coast,2018
45,201804AprDHB.pdf,Canterbury,2018
6,201804AprDHB.pdf,South Canterbury,2018
49,201804AprDHB.pdf,Southern,2018
